Quality Review Status,Date,Group Number,School,Start time (of water quality testing),End time (of water quality testing),Site Name,Latitude,Longitude,Air temperature (in Fahrenheit),Air temperature (in Celsius),Current weather,Most recent rain (on or before day of site visit),Major geophysical or weather events,Amount of trash observed (detail size/type),River substrate/foliage [Rocky],River substrate/foliage [Sandy],River substrate/foliage [Mixed],Leaf Pack?,Number of visitors at site (approximate),Number of visitors in the water (approximate),Number of visitors fishing (approximate),Number of dogs at site (approximate),Dissolved Oxygen Test Result (mgl or ppm 9-12th grade only),Temperature Sample 1 (Celsius):,Temperature Sample 1 (Fahrenheit):,Temperature Sample 2 (Celsius):,Temperature Sample 2 (Fahrenheit):,Depth at sample site reading 1 (in centimeters):,Depth at sample site reading 2 (in centimeters):,Salinity Sample 1 (ppt):,Salinity Sample 2 (ppt):,Did your group take a photographic record at your sampling location? ,"If you answered yes to the above question, has an image file of this photograph been emailed to  mcconnell@pgmuseum.org?",Flow Velocity Test 1 (m/s. 6-8 grade only):,Flow Velocity Test 2 (m/s. 6-8 grade only):,Turbidity (JTUs):,pH:,Alkalinity (ppm. 9-12th grade only):,"Does the main stem have sections that are dewatered or ponded? If partially ponded, did you test in a pond or in a flowing section of the river? ","If sampling at the lagoon, is the lagoon breached? Does it appear to have breached naturally or been dredged (ask if you aren’t sure)?","Please describe the plant and animal species present in your testing area. Be as specific as possible, but it is okay to simply say ‘birds’ or ‘fish’. Try to note how many different species there are and how numerous each one is, even if you don’t know what they are!",Other site observations and questions about your site:
ER,9/12/2018,1,Carmel High School,8:17:00 AM,9:20:00 AM,Carmel River Lagoon,36.53862,-121.92744,55,12.8,Sunny,8/12/2018,Soberanes Fire in 2016,No or minor trash,,Medium Cover,,,0,0,0,1,5.6,,,,,,,,,Unsure,Unsure,,,60,8.5,180,,,,
ER,9/12/2018,1,Carmel High School,,,Carmel River Lagoon,36.53862,-121.92744,64,17.8,Sunny,,none,none,,,,,4,1,0,0,5,36.3,98.6,,,16.5,,2,,Unsure,Unsure,,,10,8.5,120,,,,
ER,9/12/2018,2,Carmel High School,12:35:00 PM,2:15:00 PM,Carmel River Lagoon,36.53838,-121.92731,,,,,,mild,,,,,3,0,1,0,10,26.2,79.2,,,7.5,,0,,Unsure,Unsure,,,,7.5,140,,,,
ER,9/12/2018,2,Carmel High School,8:00:00 AM,9:00:00 AM,Carmel River Lagoon,36.53838,-121.92731,67.7,19.8,Sunny,4/1/2018,n/a,some plastic in water,,Low Cover,,No,30,5,0,0,7,17.4,63.3,,,,,1,1,Unsure,Unsure,,,5,9.25,158,,,,Small fish (pinky finger size or smaller): Steelhead parr (small bars visible)?
ER,9/12/2018,2,Carmel High School,10:00:00 AM,11:00:00 AM,Carmel River Lagoon,36.53838,-121.92731,62,16.7,,8/12/2018,,,,,,,2,1,1,1,6.1,,,,,,,,,Unsure,Unsure,,,20,9,184,,,,"Clean-up efforts taking place (removal of trash in area). Fish, wasps, ducks. "
ER,9/12/2018,2,Carmel High School,11:50:00 AM,1:00:00 PM,Carmel River Lagoon,36.53838,-121.92731,64,17.8,Sunny,,none,none,,High Cover,,,3,1,0,2,2.2,20.7,69.1,20.7,69.1,20.3,19.1,0,,Unsure,Unsure,,,5,9,142,,,,
ER,9/12/2018,3,Carmel High School,10:00:00 AM,11:00:00 AM,Carmel River Lagoon,36.53826,-121.92733,,,Sunny,,,minimal,,Low Cover,,,,,,,6.6,20.3,68.5,,,4.5,,3,3,Unsure,Unsure,,,0,8.75,140,,,,
ER,9/12/2018,3,Carmel High School,8:17:00 AM,9:20:00 AM,Carmel River Lagoon,36.53826,-121.92733,59.9,15.3,Sunny,,n/a,none,,Low Cover,,,5,1,0,4,7,17.4,63.3,,,,,0,0,Unsure,Unsure,,,,9,,,,,
ER,9/12/2018,4,Carmel High School,10:01:00 AM,11:00:00 AM,Carmel River Lagoon,36.53765,-121.92728,68,20,Sunny,,3/12/2018,5,,No Cover/Plants,,,40,2,0,2,6,19.4,67,,,,,,,Unsure,Unsure,,,0.25,6.5,,,,,
ER,9/12/2018,4,Carmel High School,11:30:00 AM,12:45:00 AM,Carmel River Lagoon,36.53795,-121.92728,64,17.8,Sunny,,,,,Low Cover,,,20,0,0,2,4,16.8,62.4,,,10.5,,0,,Unsure,Unsure,,,5,8.5,210,,,,
