Date,ph,AirTempF,Latitude,Longitude,AirTempC,DO,Depth,Salinity
9/12/2018,8.5,55,36.53862,-121.92744,12.8,5.6,,
9/12/2018,8.5,64,36.53862,-121.92744,17.8,5,16.5,2
9/12/2018,7.5,,36.53838,-121.92731,,10,7.5,0
9/12/2018,9.25,67.7,36.53838,-121.92731,19.8,7,,1
9/12/2018,9,62,36.53838,-121.92731,16.7,6.1,,
9/12/2018,9,64,36.53838,-121.92731,17.8,2.2,20.3,0
9/12/2018,8.75,,36.53826,-121.92733,,6.6,4.5,3
9/12/2018,9,59.9,36.53826,-121.92733,15.3,7,,0
9/12/2018,6.5,68,36.53765,-121.92728,20,6,,
9/12/2018,8.5,64,36.53795,-121.92728,17.8,4,10.5,0
9/12/2018,9,55.6,36.53795,-121.92728,13.1,5.1,,1
9/12/2018,9,64.8,36.53771,-121.92753,18.7,,,
9/12/2018,9,54,36.53771,-121.92753,12.2,9.4,,1
9/12/2018,8.5,61,36.53771,-121.92753,16.1,5.3,,
9/12/2018,9,65,36.53741,-121.92755,18.3,7,3.8,1
9/12/2018,8.7,64.4,36.53741,-121.92755,18,4,34,0
9/12/2018,9,65,36.53741,-121.92755,18.3,6.8,,1
9/12/2018,9,,36.53724,-121.92755,,8.6,4.8,2
9/12/2018,7.9,,36.53724,-121.92755,,6,15.24,
9/12/2018,9,64,36.53689,-121.92783,17.8,,12.7,0
9/12/2018,9,,36.53689,-121.92783,,6.8,11.5,20
9/12/2018,9,52,36.53689,-121.92783,11.1,7,6.4,0
9/13/2018,8.5,65,36.53826,-121.92733,18.3,,,1
9/13/2018,9,71.2,36.53795,-121.92728,21.8,2,8.25,0
9/13/2018,9,,36.53771,-121.92753,,2.4,,0
9/13/2018,9,68,36.53741,-121.92755,20,,,1
9/13/2018,9,,36.53724,-121.92755,,6,7.6,0
9/26/2018,,65,36.53821,-121.92733,18.3,16.2,5.3,0
9/26/2018,9,64,30.53724,-121.92755,17.8,6.5,8,0
10/30/2018,8,,36.53862,-121.92744,,,,5
10/30/2018,7,,36.53838,-121.92731,,,16,7
10/30/2018,9,65,36.53821,-121.92733,,,20,7.8
10/30/2018,9,,36.53795,-121.92728,,,,
10/30/2018,9,,36.53771,-121.92753,,,7,10
10/30/2018,9,,36.53741,-121.92755,,,9.5,10
10/30/2018,9,,36.53731,-121.92755,,,46,
10/30/2018,,64,36.53862,-121.92744,,,28,7
10/30/2018,8.5,,36.53838,-121.92731,,,,
10/30/2018,11,,36.53821,-121.92733,,,9.5,9
10/30/2018,,,36.53795,-121.92728,,,12.5,
10/30/2018,7,,36.53771,-121.92753,,,5,14
10/30/2018,,66,36.53741,-121.92755,,,15,10
1/23/2019,,,,,,,26,
1/23/2019,,,,,,,,
1/23/2019,,,,,,,2.3,
1/23/0019,7,66.2,,,19,,,
1/23/2019,8,,,,,,7,1
1/23/2019,7.5,,,,,,,
1/23/2019,,63,,,20,,19,4
2/12/2019,8,53.6,,,,,11,1
2/12/2019,7,,,,,,13.5,8.5
2/12/2019,7,43,,,6.1,,5,10
2/12/2019,8,,,,,,7,1.5
2/12/2019,,,,,,,6,1.5
2/12/2019,,,,,,,5,1
2/12/2019,7,,,,,,,1
2/12/2019,8.5,47,,,,,8,4
2/7/2019,8.5,55,36.53771,-121.92753,,9.2,27,0
2/20/2019,7,55.9,,,13.6,6.3,6,3
2/20/2019,7.5,52,,,,6.3,14,6
2/20/2019,7,,,,,11.25,7.5,2
2/20/2019,8.5,,,,,9.4,8.5,1
2/20/2019,7,53,,,,14.2,3.6,0
2/20/2019,7,,,,,7.5,4.5,1
